ID,Gemeente,Locatie
1001185,Zonhoven,"Zonhoven,Flanders,Belgium"
1001187,Aalst,"Aalst,Flanders,Belgium"
1001188,Aalter,"Aalter,Flanders,Belgium"
1001189,Assenede,"Assenede,Flanders,Belgium"
1001191,Beveren,"Beveren,Flanders,Belgium"
1001193,Brakel,"Brakel,Flanders,Belgium"
1001194,Buggenhout,"Buggenhout,Flanders,Belgium"
1001196,Deerlijk,"Deerlijk,Flanders,Belgium"
1001197,Deinze,"Deinze,Flanders,Belgium"
1001198,Dendermonde,"Dendermonde,Flanders,Belgium"
1001199,Destelbergen,"Destelbergen,Flanders,Belgium"
1001201,Eeklo,"Eeklo,Flanders,Belgium"
1001206,Evergem,"Evergem,Flanders,Belgium"
1001207,Gavere,"Gavere,Flanders,Belgium"
1001208,Ghent,"Ghent,Flanders,Belgium"
1001209,Geraardsbergen,"Geraardsbergen,Flanders,Belgium"
1001210,Hamme,"Hamme,Flanders,Belgium"
1001215,Kruibeke,"Kruibeke,Flanders,Belgium"
1001216,Kruishoutem,"Kruishoutem,Flanders,Belgium"
1001217,Lebbeke,"Lebbeke,Flanders,Belgium"
1001221,Lochristi,"Lochristi,Flanders,Belgium"
1001222,Lokeren,"Lokeren,Flanders,Belgium"
1001223,Lovendegem,"Lovendegem,Flanders,Belgium"
1001224,Maldegem,"Maldegem,Flanders,Belgium"
1001225,Melle,"Melle,Flanders,Belgium"
1001228,Merelbeke,"Merelbeke,Flanders,Belgium"
1001231,Nazareth,"Nazareth,Flanders,Belgium"
1001232,Nevele,"Nevele,Flanders,Belgium"
1001234,Ninove,"Ninove,Flanders,Belgium"
1001236,Oosterzele,"Oosterzele,Flanders,Belgium"
1001237,Oudenaarde,"Oudenaarde,Flanders,Belgium"
1001238,Ronse,"Ronse,Flanders,Belgium"
1001242,Sint-Niklaas,"Sint-Niklaas,Flanders,Belgium"
1001243,Stekene,"Stekene,Flanders,Belgium"
1001244,Temse,"Temse,Flanders,Belgium"
1001247,Waarschoot,"Waarschoot,Flanders,Belgium"
1001249,Wetteren,"Wetteren,Flanders,Belgium"
1001252,Zele,"Zele,Flanders,Belgium"
1001254,Zottegem,"Zottegem,Flanders,Belgium"
1001256,Ardooie,"Ardooie,Flanders,Belgium"
1001259,Bruges,"Bruges,Flanders,Belgium"
1001261,Diksmuide,"Diksmuide,Flanders,Belgium"
1001262,Gistel,"Gistel,Flanders,Belgium"
1001266,Harelbeke,"Harelbeke,Flanders,Belgium"
1001268,Hooglede,"Hooglede,Flanders,Belgium"
1001269,Ypres,"Ypres,Flanders,Belgium"
1001270,Izegem,"Izegem,Flanders,Belgium"
1001271,Jabbeke,"Jabbeke,Flanders,Belgium"
1001273,Knokke-Heist,"Knokke-Heist,Flanders,Belgium"
1001274,Koksijde,"Koksijde,Flanders,Belgium"
1001275,Kortrijk,"Kortrijk,Flanders,Belgium"
1001276,Kuurne,"Kuurne,Flanders,Belgium"
1001277,Menen,"Menen,Flanders,Belgium"
1001278,Meulebeke,"Meulebeke,Flanders,Belgium"
1001281,Nieuwpoort,"Nieuwpoort,Flanders,Belgium"
1001282,Ostend,"Ostend,Flanders,Belgium"
1001283,Oostkamp,"Oostkamp,Flanders,Belgium"
1001286,Poperinge,"Poperinge,Flanders,Belgium"
1001287,Roeselare,"Roeselare,Flanders,Belgium"
1001292,Staden,"Staden,Flanders,Belgium"
1001293,Tielt,"Tielt,Flanders,Belgium"
1001294,Torhout,"Torhout,Flanders,Belgium"
1001297,Waregem,"Waregem,Flanders,Belgium"
1001298,Wervik,"Wervik,Flanders,Belgium"
1001300,Wevelgem,"Wevelgem,Flanders,Belgium"
1001301,Wielsbeke,"Wielsbeke,Flanders,Belgium"
1001302,Zedelgem,"Zedelgem,Flanders,Belgium"
1001304,Zwevegem,"Zwevegem,Flanders,Belgium"
1001305,Aartselaar,"Aartselaar,Flanders,Belgium"
1001307,Boortmeerbeek,"Boortmeerbeek,Flanders,Belgium"
1001308,Braine-l'Alleud,"Braine-l'Alleud,Wallonia,Belgium"
1001310,Diest,"Diest,Flanders,Belgium"
1001313,Grez-Doiceau,"Grez-Doiceau,Wallonia,Belgium"
1001314,Jodoigne,"Jodoigne,Wallonia,Belgium"
1001315,Kampenhout,"Kampenhout,Flanders,Belgium"
1001316,La Hulpe,"La Hulpe,Wallonia,Belgium"
1001317,Lasne,"Lasne,Wallonia,Belgium"
1001319,Ottignies-Louvain-la-Neuve,"Ottignies-Louvain-la-Neuve,Wallonia,Belgium"
1001321,Nivelles,"Nivelles,Wallonia,Belgium"
1001326,Tubize,"Tubize,Wallonia,Belgium"
1001327,Waterloo,"Waterloo,Wallonia,Belgium"
1001329,Wavre,"Wavre,Wallonia,Belgium"
1001330,Ath,"Ath,Wallonia,Belgium"
1001332,Binche,"Binche,Wallonia,Belgium"
1001333,Braine-le-Comte,"Braine-le-Comte,Wallonia,Belgium"
1001334,Charleroi,"Charleroi,Wallonia,Belgium"
1001337,Courcelles,"Courcelles,Wallonia,Belgium"
1001342,Enghien,"Enghien,Wallonia,Belgium"
1001343,Fleurus,"Fleurus,Wallonia,Belgium"
1001344,Frameries,"Frameries,Wallonia,Belgium"
1001355,La Louviere,"La Louviere,Wallonia,Belgium"
1001356,Lessines,"Lessines,Wallonia,Belgium"
1001360,Mons,"Mons,Wallonia,Belgium"
1001361,Mouscron,"Mouscron,Wallonia,Belgium"
1001363,Peruwelz,"Peruwelz,Wallonia,Belgium"
1001366,Seneffe,"Seneffe,Wallonia,Belgium"
1001367,Soignies,"Soignies,Wallonia,Belgium"
1001370,Tournai,"Tournai,Wallonia,Belgium"
1001379,Chaudfontaine,"Chaudfontaine,Wallonia,Belgium"
1001382,Eupen,"Eupen,Wallonia,Belgium"
1001385,Grace-Hollogne,"Grace-Hollogne,Wallonia,Belgium"
